Rk,player_name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_20-21,salary_21-22,signed_using,guaranteed_money,salary_above_average
303,Wesley Matthews,SG,34,LAL,42,5,835,62,175,0.354,47,138,0.341,15,37,0.405,0.489,18,21,0.857,14,53,67,42,24,13,18,59,189,254,3623000,0,Bi-Annual Exception,3623000,0
304,Tyrese Maxey,SG,20,PHI,42,6,625,130,287,0.45299999999999996,19,66,0.28800000000000003,111,221,0.502,0.486,30,35,0.857,9,61,70,67,15,7,27,48,309,309,2478840,2602920,1st Round Pick,5081760,0
306,Patrick McCaw,SF,25,TOR,5,0,33,1,1,1.0,0,0,0.31116155419222935,1,1,1.0,1.0,3,3,1.0,1,2,3,4,2,0,0,6,5,238,4000000,0,MLE,4000000,0
307,CJ McCollum,SG,29,POR,24,24,787,205,459,0.447,99,242,0.409,106,217,0.488,0.5539999999999999,62,73,0.8490000000000001,12,78,90,115,26,13,32,43,571,27,29354152,30864198,1st Round Pick,129354152,1
308,T.J. McConnell,PG,28,IND,45,2,1149,160,292,0.5479999999999999,7,24,0.292,153,268,0.5710000000000001,0.56,18,30,0.6,34,129,163,293,77,17,82,71,345,262,3500000,0,Cap Space,1000000,0
309,Jaden McDaniels,PF,20,MIN,44,10,961,110,250,0.44,50,132,0.379,60,118,0.508,0.54,19,33,0.5760000000000001,35,122,157,48,20,46,29,110,289,357,1964760,2063280,1st Round Pick,4028040,0
310,Jalen McDaniels,SF,23,CHO,24,1,258,38,85,0.447,8,30,0.267,30,55,0.545,0.494,16,23,0.696,8,40,48,11,3,5,17,34,100,430,1517981,1782621,,,0
311,Doug McDermott,PF,29,IND,46,17,1154,238,457,0.521,80,207,0.386,158,250,0.632,0.608,56,67,0.836,46,124,170,65,13,4,38,82,612,162,7333333,0,Cap Space,7333333,0
313,JaVale McGee,C,33,TOT,34,1,509,113,216,0.523,5,20,0.25,108,196,0.551,0.535,37,57,0.649,55,117,172,33,17,40,46,82,268,229,4200000,0,Cap Space,4200000,0
314,Rodney McGruder,SG,29,DET,16,2,194,37,70,0.529,11,24,0.45799999999999996,26,46,0.565,0.607,6,8,0.75,8,14,22,16,8,1,7,12,91,207,5000000,5370370,Cap Space,10370370,0
315,Alfonzo McKinnie,SF,28,LAL,28,0,148,25,48,0.521,8,21,0.381,17,27,0.63,0.604,9,13,0.6920000000000001,10,20,30,2,3,0,2,15,67,376,1762796,1910860,,,0
317,Ben McLemore,SG,27,HOU,32,4,537,80,224,0.35700000000000004,55,166,0.331,25,58,0.431,0.48,23,32,0.7190000000000001,11,55,66,28,20,3,28,51,238,327,2283034,0,,2283034,0
318,Nicolò Melli,PF,30,TOT,27,2,330,23,78,0.295,9,46,0.196,14,32,0.43799999999999994,0.353,7,8,0.875,17,60,77,31,11,3,8,38,62,233,4097561,0,Room Exception,4097561,0
319,De'Anthony Melton,PG,22,MEM,35,1,696,131,273,0.48,63,139,0.45299999999999996,68,134,0.507,0.595,27,35,0.7709999999999999,23,89,112,93,43,17,43,58,352,156,7812500,8437500,Early Bird,35000000,1
